Timestamp,Mileage,Octane,Ethanol %,Station,Cost,Amount of fuel,Notes
2024/05/10 5:16:31 PM CST,276.9,87,10,HyVee West Ames,50.57,15.66,
2024/05/22 9:30:57 AM CST,298.4,87,10,Costco Ankeny,50.01,16.667,
2024/06/03 8:34:29 AM CST,299.7,87,10,Hy-Vee downtown,57.34,17.223,
2024/06/19 9:24:00 AM CST,297.7,87,10,Sam’s Club Ames,47.1,15.199,
2024/07/01 11:51:19 AM CST,262.6,87,0,Petro Albert Lea,47.28,14.333,
2024/07/01 2:12:25 PM CST,146.9,87,10,Holiday Clearwater MN,20.92,60.65,
2024/07/04 3:51:11 PM CST,265.3,87,10,Casey’s Detroit Lakes MN,42.26,12.506,
2024/07/07 11:14:03 AM CST,174.5,88,15,Love’s St. Cloud MN,19.29,6.226,
2024/07/07 1:25:35 PM CST,116.2,87,10,Kwik Trip Faribault MN,16.87,5.192,
2024/07/13 6:34:40 AM CST,333.1,87,10,Costco Ankeny IA,53.53,18.151,
2024/07/23 3:57:43 PM CST,244.7,87,10,Costco Ankeny,48.81,15.751,
2024/07/27 6:45:58 PM CST,204.2,87,10,Sam’s Club Waterloo IA,31.16,9.834,
2024/07/28 11:14:14 AM CST,188.5,87,0,Speedway Inver Grove Heights MN,22.32,6.704,
2024/08/05 2:13:51 PM CST,300.7,87,10,Costco Duluth MN,43.76,14.447,
2024/08/07 3:20:08 PM CST,258.1,87,10,Circle K,33.93,10.315,
2024/08/18 10:11:21 AM CST,271.1,87,10,Sam’s club ames,51.05,16.744,
2024/09/07 11:04:41 AM CST,251.3,87,10,Sam’s Ames,49.02,17.207,
2024/09/14 8:43:08 AM CST,202.1,87,10,Costco Ankeny IA,28.95,10.726,
2024/09/23 2:53:13 PM CST,315.4,87,10,Sam’s club ames,47.02,15.946,
2024/10/01 4:30:48 PM CST,328.9,87,10,Sam’s club Ames,50.54,17.433,
2024/10/07 8:11:25 AM CST,263.9,87,10,BP on 13th Ames ,39.55,12.763,
2024/10/13 8:28:03 AM CST,352.5,87,10,BP on 13th Ames,52.02,16.785,
2024/10/17 11:48:38 AM CST,272.1,87,10,Sam’s club Ames,38.58,13.785,
2024/10/18 5:13:35 PM CST,287.6,87,10,Quick Trip Lee Summit Missouri ,35.27,12.646,
2024/10/20 12:51:16 PM CST,345.2,87,10,Costco Ankeny,40.53,15.017,
2024/11/01 1:34:31 PM CST,239,87,10,Casey’s on Grand North Ames,42.63,14.216,
2024/11/19 6:45:06 PM CST,279.4,87,10,Costco Ankeny,36.6,15.784,
2024/11/25 3:26:15 PM CST,263.7,87,10,Sam’s club Ames,33.63,13.513,
2024/11/26 5:16:38 PM CST,203.7,87,0,Holiday Lakeville MN,24.25,8.366,
2024/11/29 4:34:23 PM CST,370.9,87,0,Minno-ette Fredenberg MN,51.71,18.023,
2024/12/01 4:00:56 PM CST,277.9,87,10,Circle K Owatonna MN,30.04,11.604,
2024/12/03 6:49:13 PM CST,500.4,87,10,Costco Ankeny,24.88,11.056,
2024/12/10 6:41:25 PM CST,168,87,10,Costco ankeny,22.69,9.999,
2024/12/17 12:47:13 PM CST,245,87,10,Sam’s club ames,33.53,13.976,
2025/01/05 5:47:26 PM CST,258.1,87,10,Sans club ames,35.55,13.892,
2025/01/21 8:36:21 AM CST,248.7,87,10,Sam’s club ames,45.17,16.797,
2025/02/01 3:28:48 PM CST,293.6,87,10,Costco Ankeny IA,45.37,17.259,
2025/02/09 9:58:56 AM CST,200.6,87,10,Sam’s Club Ames IA,29.38,10.925,
2025/02/23 12:57:54 PM CST,228.2,87,10,Costco Ankeny Ia,42.76,16.02,
2025/03/01 9:10:40 AM CST,257.4,87,10,Sam’s Club Ames IA,36.01,13.195,
2025/03/08 8:15:42 AM CST,265.1,87,10,Sam’s Club Ames IA,36.76,12.592,
2025/03/17 5:22:56 PM CST,238.4,87,10,Sam’s Club Ames,36.79,12.646,
2025/03/22 8:38:08 AM CST,158.7,87,10,Costco Ankeny IA,21,7.64,
2025/03/29 5:57:20 PM CST,323.6,87,0,Casey’s Ames IA,57.76,15.408,
2025/04/05 8:10:58 AM CST,237.5,87,10,Sam’s club ames,40.39,12.23,
2025/04/13 8:40:17 PM CST,364.4,87,10,Kim and go ankeny,43.25,15.847,
2025/04/26 4:50:01 PM CST,243.9,87,0,Casey’s Ames IA,65.41,17.925,Pulled a trailer to and from Des Moines
2025/05/03 1:50:51 PM CST,153.3,87,10,Costco Ankeny,22.71,8.416,
2025/05/10 4:35:36 PM CST,399.9,87,10,Costco Ankeny IA,46.96,17.793,
2025/05/18 8:26:45 AM CST,308.2,87,10,Sam’s Club Ames IA,49.16,16.393,
2025/05/20 7:02:11 PM CST,348,87,0,Minnoco Hinckley MN,51.16,15.992,
2025/05/24 11:53:57 AM CST,249.7,87,0,Holiday White Bear Lake MN,33.29,10.572,
2025/05/27 3:26:00 PM CST,302.1,87,10,Sam’s club ames,40.86,13.625,
2025/06/06 5:39:18 AM CST,278.6,87,10,Costco Ankeny IA,34.93,14.322,
2025/06/13 2:43:34 PM CST,251.7,87,10,Costco Ankeny IA,334.35,13.319,
2025/06/15 11:35:59 AM CST,382,87,,Holiday Alexandria MN,44.71,15.421,
2025/06/20 3:09:33 PM CST,337.4,87,,Casey’s MN,42.57,13.307,
2025/06/23 9:08:56 AM CST,174.1,87,10,Sam’s club Ames,30.4,10.205,
